Name,GID,Source data,Entry type,Year,Year info,Parentage,Source study,BPH17,BPH3,BPH9-9,Xa4,xa5,Xa7,xa13,Xa21,Pita,Pi9,Pi54,Pi35(t),BADH2,chalk5,sub1,1K-RiCA_GS3,1k-RiCA_Wx,1K-RiCA_alk,AG1,Saltol,qNa1L,DTY1.1,DTY2.2,DTY3.1,DTY3.2,DTY4.1,DTY12.1,COLD1,LTG1,qSCT1,HTSF4.1
IR16A3562,4815790,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,R,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3676,4815904,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,S,S,S,,non_frag,,non_tolerant,,,,,,,,,,,,,,,,
IR16A3040,4789549,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,R,,S,S,,S,S,,non_frag,non_chalky,,,,,,,,,,,,,,,,,
IR16A3091,4789813,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3429,4815657,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,R,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3686,4815914,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3015,4789485,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,R,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3103,4789837,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,,,S,S,R,S,S,,non_frag,non_chalky,tolerant,,,,,,,,,,,,,,,,
IR16A3412,4815640,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3045,4789571,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3593,4815821,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,R,S,S,,non_frag,chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3105,4789841,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,,,S,R,S,S,S,,,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3033,4789531,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3431,4815659,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,R,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3683,4815911,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3124,4789766,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3583,4815811,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3644,4815872,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3106,4789844,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,,,S,,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3448,4815676,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3395,4815623,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3084,4789724,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3058,4789659,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3018,4789488,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 100121-B-B-B-B-73,300038266,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,PR 37866-1B-1-4/IRRI 154,,S,,,,S,,S,S,R,S,S,,non_frag,chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3008,4789473,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3065,4789673,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3460,4815688,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3375,4815603,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3043,4789565,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3118,4789751,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,R,,S,,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2814,4788994,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,,,S,S,R,S,S,,non_frag,non_chalky,tolerant,,,,,,,,,,,,,,,,
IR16A3418,4815646,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3662,4815890,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2827,4789023,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2860,4789077,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 122310:7-5-6,300166641,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2014,cross year,IR 120763:2/IRRI 156,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,tolerant,,,,,,,,,,,,,,,,
IR16A2884,4789117,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3600,4815828,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3371,4815599,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,R,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3469,4815697,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3436,4815664,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,,S,S,S,,non_frag,non_chalky,,,,,,,,,,,,,,,,,
IR16A2841,4789051,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,R,,S,R,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3449,4815677,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2844,4789056,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,R,,S,R,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2833,4789032,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,R,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2915,4789183,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,tolerant,,,,,,,,,,,,,,,,
IR16A3409,4815637,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2861,4789078,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3425,4815653,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2873,4789102,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,R,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2919,4789201,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,tolerant,,,,,,,,,,,,,,,,
IR16A2834,4789033,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,R,,S,R,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2883,4789116,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,R,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2829,4789026,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,tolerant,,,,,,,,,,,,,,,,
IR16A3635,4815863,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3430,4815658,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 107051:5-1-1,4609626,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,IR 103806:237/IRRI 154,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,tolerant,,,,,,,,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-84,300293539,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,IRRI 151/IRRI 154,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2802,4788976,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3010,4789479,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,,,,,,,,,,,,,,,,,
IR16A2874,4789104,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,R,,S,S,R,S,S,,non_frag,chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3396,4815624,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,tolerant,,,,,,,,,,,,,,,,
IR 100121-B-B-B-B-72,300038265,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,PR 37866-1B-1-4/IRRI 154,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2858,4789072,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,R,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3438,4815666,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3374,4815602,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR15A2835,300080510,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,12DS-GMET-22/IRRI 156,,S,,,,R,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2902,4789157,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 107061:10-1-1,4609628,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,IR 103806:292/IRRI 154,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A2865,4789084,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 107057:2-1-1,4609630,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,IR 103806:279/IRRI 154,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,tolerant,,,,,,,,,,,,,,,,
IR16A3524,4815752,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,IR05N412/PR 37921-B-3-2-2//IR05N412,,S,,,,,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR15A2878,300080634,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,IRRI 193/PR 37951-3B-37-1-2,,S,,,,S,,S,S,R,S,S,,non_frag,chalky,tolerant,,,,,,,,,,,,,,,,
IR16A2836,4789041,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,R,,S,R,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 107061:1-1-1,4609627,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,IR 103806:292/IRRI 154,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,tolerant,,,,,,,,,,,,,,,,
IR15A3855,300174380,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,PR 37285-17-31-12-1-21-1-2/IRRI 123,,,,,,,,S,S,R,S,S,,non_frag,,non_tolerant,,,,,,,,,,,,,,,,
IR15A3449,300172737,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,IRRI 154/IR04A213//PAU 201,,S,,,,R,,S,S,R,S,S,,frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 106432-B-B-B-B-25,300233776,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,GSR IR 1-8-S6-S3-Y2/PR 39421-52-28-2-1//IR09A228,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 100097-B-B RGA-B RGA-70,300294080,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,IR10N108/IRRI 154,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 107057:25-1-1,4609629,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,IR 103806:279/IRRI 154,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,tolerant,,,,,,,,,,,,,,,,
IR 106432-B-B-B-B-61,300233812,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,GSR IR 1-8-S6-S3-Y2/PR 39421-52-28-2-1//IR09A228,,,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-81,300293536,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,IRRI 151/IRRI 154,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 103806:220-B RGA,4194510,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,IRRI 154*2/IRRI 149,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 103806:321-B RGA,4193129,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,IRRI 154*2/IRRI 149,,S,,,,R,,S,S,R,S,S,,non_frag,chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-78,300293533,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,IRRI 151/IRRI 154,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 99107-B-B-B-B-27,300040799,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,MTU 1113/IRRI 198//IR07A234,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3504,4815732,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,IR05N412/PR 37921-B-3-2-2//IR05N412,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3439,4815667,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR 103806:280-B RGA,4193103,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,IRRI 154*2/IRRI 149,,S,,,,R,,S,S,S,S,S,,non_frag,chalky,tolerant,,,,,,,,,,,,,,,,
IR16A3493,4815721,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 37246-2-3-2-1-1-2-1/IR10F365,,S,,,,S,,S,S,R,S,S,,non_frag,non_chalky,tolerant,,,,,,,,,,,,,,,,
